Pokemon,Type,Stat,Score
Wimpod,Bug,hp,25
Wimpod,Bug,attack,35
Wimpod,Bug,defense,40
Wimpod,Bug,sp_attack,20
Wimpod,Bug,sp_defense,30
Wimpod,Bug,speed,80
Passimian,Fighting,hp,100
Passimian,Fighting,attack,120
Passimian,Fighting,defense,90
Passimian,Fighting,sp_attack,40
Passimian,Fighting,sp_defense,60
Passimian,Fighting,speed,80
Oranguru,Normal,hp,90
Oranguru,Normal,attack,60
Oranguru,Normal,defense,80
Oranguru,Normal,sp_attack,90
Oranguru,Normal,sp_defense,110
Oranguru,Normal,speed,60
Comfey,Fairy,hp,51
Comfey,Fairy,attack,52
Comfey,Fairy,defense,90
Comfey,Fairy,sp_attack,82
Comfey,Fairy,sp_defense,110
Comfey,Fairy,speed,100
Tsareena,Grass,hp,72
Tsareena,Grass,attack,120
Tsareena,Grass,defense,98
Tsareena,Grass,sp_attack,50
Tsareena,Grass,sp_defense,98
Tsareena,Grass,speed,72
Steenee,Grass,hp,52
Steenee,Grass,attack,40
Steenee,Grass,defense,48
Steenee,Grass,sp_attack,40
Steenee,Grass,sp_defense,48
Steenee,Grass,speed,62
Bounsweet,Grass,hp,42
Bounsweet,Grass,attack,30
Bounsweet,Grass,defense,38
Bounsweet,Grass,sp_attack,30
Bounsweet,Grass,sp_defense,38
Bounsweet,Grass,speed,32
Bewear,Normal,hp,120
Bewear,Normal,attack,125
Bewear,Normal,defense,80
Bewear,Normal,sp_attack,55
Bewear,Normal,sp_defense,60
Bewear,Normal,speed,60
Stufful,Normal,hp,70
Stufful,Normal,attack,75
Stufful,Normal,defense,50
Stufful,Normal,sp_attack,45
Stufful,Normal,sp_defense,50
Stufful,Normal,speed,50
Salazzle,Poison,hp,68
Salazzle,Poison,attack,64
Salazzle,Poison,defense,60
Salazzle,Poison,sp_attack,111
Salazzle,Poison,sp_defense,60
Salazzle,Poison,speed,117
Salandit,Poison,hp,48
Salandit,Poison,attack,44
Salandit,Poison,defense,40
Salandit,Poison,sp_attack,71
Salandit,Poison,sp_defense,40
Salandit,Poison,speed,77
Shiinotic,Grass,hp,60
Shiinotic,Grass,attack,45
Shiinotic,Grass,defense,80
Shiinotic,Grass,sp_attack,90
Shiinotic,Grass,sp_defense,100
Shiinotic,Grass,speed,30
Morelull,Grass,hp,40
Morelull,Grass,attack,35
Morelull,Grass,defense,55
Morelull,Grass,sp_attack,65
Morelull,Grass,sp_defense,75
Morelull,Grass,speed,15
Lurantis,Grass,hp,70
Lurantis,Grass,attack,105
Lurantis,Grass,defense,90
Lurantis,Grass,sp_attack,80
Lurantis,Grass,sp_defense,90
Lurantis,Grass,speed,45
Fomantis,Grass,hp,40
Fomantis,Grass,attack,55
Fomantis,Grass,defense,35
Fomantis,Grass,sp_attack,50
Fomantis,Grass,sp_defense,35
Fomantis,Grass,speed,35
Araquanid,Water,hp,68
Araquanid,Water,attack,70
Araquanid,Water,defense,92
Araquanid,Water,sp_attack,50
Araquanid,Water,sp_defense,132
Araquanid,Water,speed,42
Dewpider,Water,hp,38
Dewpider,Water,attack,40
Dewpider,Water,defense,52
Dewpider,Water,sp_attack,40
Dewpider,Water,sp_defense,72
Dewpider,Water,speed,27
Mudsdale,Ground,hp,100
Mudsdale,Ground,attack,125
Mudsdale,Ground,defense,100
Mudsdale,Ground,sp_attack,55
Mudsdale,Ground,sp_defense,85
Mudsdale,Ground,speed,35
Mudbray,Ground,hp,70
Mudbray,Ground,attack,100
Mudbray,Ground,defense,70
Mudbray,Ground,sp_attack,45
Mudbray,Ground,sp_defense,55
Mudbray,Ground,speed,45
Toxapex,Poison,hp,50
Toxapex,Poison,attack,63
Toxapex,Poison,defense,152
Toxapex,Poison,sp_attack,53
Toxapex,Poison,sp_defense,142
Toxapex,Poison,speed,35
Mareanie,Poison,hp,50
Mareanie,Poison,attack,53
Mareanie,Poison,defense,62
Mareanie,Poison,sp_attack,43
Mareanie,Poison,sp_defense,52
Mareanie,Poison,speed,45
Wishiwashi School Form,Water,hp,45
Wishiwashi School Form,Water,attack,140
Wishiwashi School Form,Water,defense,130
Wishiwashi School Form,Water,sp_attack,140
Wishiwashi School Form,Water,sp_defense,135
Wishiwashi School Form,Water,speed,30
Wishiwashi Solo Form,Water,hp,45
Wishiwashi Solo Form,Water,attack,20
Wishiwashi Solo Form,Water,defense,20
Wishiwashi Solo Form,Water,sp_attack,25
Wishiwashi Solo Form,Water,sp_defense,25
Wishiwashi Solo Form,Water,speed,40
Lycanroc Dusk Form,Rock,hp,75
Lycanroc Dusk Form,Rock,attack,117
Lycanroc Dusk Form,Rock,defense,65
Lycanroc Dusk Form,Rock,sp_attack,55
Lycanroc Dusk Form,Rock,sp_defense,65
Lycanroc Dusk Form,Rock,speed,110
Lycanroc Midnight Form,Rock,hp,85
Lycanroc Midnight Form,Rock,attack,115
Lycanroc Midnight Form,Rock,defense,75
Lycanroc Midnight Form,Rock,sp_attack,55
Lycanroc Midnight Form,Rock,sp_defense,75
Lycanroc Midnight Form,Rock,speed,82
Lycanroc Midday Form,Rock,hp,75
Lycanroc Midday Form,Rock,attack,115
Lycanroc Midday Form,Rock,defense,65
Lycanroc Midday Form,Rock,sp_attack,55
Lycanroc Midday Form,Rock,sp_defense,65
Lycanroc Midday Form,Rock,speed,112
Own Tempo Rockruff,Rock,hp,45
Own Tempo Rockruff,Rock,attack,65
Own Tempo Rockruff,Rock,defense,40
Own Tempo Rockruff,Rock,sp_attack,30
Own Tempo Rockruff,Rock,sp_defense,40
Own Tempo Rockruff,Rock,speed,60
Rockruff,Rock,hp,45
Rockruff,Rock,attack,65
Rockruff,Rock,defense,40
Rockruff,Rock,sp_attack,30
Rockruff,Rock,sp_defense,40
Rockruff,Rock,speed,60
Ribombee,Bug,hp,60
Ribombee,Bug,attack,55
Ribombee,Bug,defense,60
Ribombee,Bug,sp_attack,95
Ribombee,Bug,sp_defense,70
Ribombee,Bug,speed,124
Cutiefly,Bug,hp,40
Cutiefly,Bug,attack,45
Cutiefly,Bug,defense,40
Cutiefly,Bug,sp_attack,55
Cutiefly,Bug,sp_defense,40
Cutiefly,Bug,speed,84
Oricorio Sensu Style,Ghost,hp,75
Oricorio Sensu Style,Ghost,attack,70
Oricorio Sensu Style,Ghost,defense,70
Oricorio Sensu Style,Ghost,sp_attack,98
Oricorio Sensu Style,Ghost,sp_defense,70
Oricorio Sensu Style,Ghost,speed,93
Oricorio Pa'u Style,Psychic,hp,75
Oricorio Pa'u Style,Psychic,attack,70
Oricorio Pa'u Style,Psychic,defense,70
Oricorio Pa'u Style,Psychic,sp_attack,98
Oricorio Pa'u Style,Psychic,sp_defense,70
Oricorio Pa'u Style,Psychic,speed,93
Oricorio Pom-Pom Style,Electric,hp,75
Oricorio Pom-Pom Style,Electric,attack,70
Oricorio Pom-Pom Style,Electric,defense,70
Oricorio Pom-Pom Style,Electric,sp_attack,98
Oricorio Pom-Pom Style,Electric,sp_defense,70
Oricorio Pom-Pom Style,Electric,speed,93
Oricorio Baile Style,Fire,hp,75
Oricorio Baile Style,Fire,attack,70
Oricorio Baile Style,Fire,defense,70
Oricorio Baile Style,Fire,sp_attack,98
Oricorio Baile Style,Fire,sp_defense,70
Oricorio Baile Style,Fire,speed,93
Crabominable,Fighting,hp,97
Crabominable,Fighting,attack,132
Crabominable,Fighting,defense,77
Crabominable,Fighting,sp_attack,62
Crabominable,Fighting,sp_defense,67
Crabominable,Fighting,speed,43
Crabrawler,Fighting,hp,47
Crabrawler,Fighting,attack,82
Crabrawler,Fighting,defense,57
Crabrawler,Fighting,sp_attack,42
Crabrawler,Fighting,sp_defense,47
Crabrawler,Fighting,speed,63
Vikavolt,Bug,hp,77
Vikavolt,Bug,attack,70
Vikavolt,Bug,defense,90
Vikavolt,Bug,sp_attack,145
Vikavolt,Bug,sp_defense,75
Vikavolt,Bug,speed,43
Charjabug,Bug,hp,57
Charjabug,Bug,attack,82
Charjabug,Bug,defense,95
Charjabug,Bug,sp_attack,55
Charjabug,Bug,sp_defense,75
Charjabug,Bug,speed,36
Grubbin,Bug,hp,47
Grubbin,Bug,attack,62
Grubbin,Bug,defense,45
Grubbin,Bug,sp_attack,55
Grubbin,Bug,sp_defense,45
Grubbin,Bug,speed,46
Gumshoos,Normal,hp,88
Gumshoos,Normal,attack,110
Gumshoos,Normal,defense,60
Gumshoos,Normal,sp_attack,55
Gumshoos,Normal,sp_defense,60
Gumshoos,Normal,speed,45
Yungoos,Normal,hp,48
Yungoos,Normal,attack,70
Yungoos,Normal,defense,30
Yungoos,Normal,sp_attack,30
Yungoos,Normal,sp_defense,30
Yungoos,Normal,speed,45
Toucannon,Normal,hp,80
Toucannon,Normal,attack,120
Toucannon,Normal,defense,75
Toucannon,Normal,sp_attack,75
Toucannon,Normal,sp_defense,75
Toucannon,Normal,speed,60
Trumbeak,Normal,hp,55
Trumbeak,Normal,attack,85
Trumbeak,Normal,defense,50
Trumbeak,Normal,sp_attack,40
Trumbeak,Normal,sp_defense,50
Trumbeak,Normal,speed,75
Pikipek,Normal,hp,35
Pikipek,Normal,attack,75
Pikipek,Normal,defense,30
Pikipek,Normal,sp_attack,30
Pikipek,Normal,sp_defense,30
Pikipek,Normal,speed,65
Primarina,Water,hp,80
Primarina,Water,attack,74
Primarina,Water,defense,74
Primarina,Water,sp_attack,126
Primarina,Water,sp_defense,116
Primarina,Water,speed,60
Brionne,Water,hp,60
Brionne,Water,attack,69
Brionne,Water,defense,69
Brionne,Water,sp_attack,91
Brionne,Water,sp_defense,81
Brionne,Water,speed,50
Popplio,Water,hp,50
Popplio,Water,attack,54
Popplio,Water,defense,54
Popplio,Water,sp_attack,66
Popplio,Water,sp_defense,56
Popplio,Water,speed,40
Incineroar,Fire,hp,95
Incineroar,Fire,attack,115
Incineroar,Fire,defense,90
Incineroar,Fire,sp_attack,80
Incineroar,Fire,sp_defense,90
Incineroar,Fire,speed,60
Torracat,Fire,hp,65
Torracat,Fire,attack,85
Torracat,Fire,defense,50
Torracat,Fire,sp_attack,80
Torracat,Fire,sp_defense,50
Torracat,Fire,speed,90
Litten,Fire,hp,45
Litten,Fire,attack,65
Litten,Fire,defense,40
Litten,Fire,sp_attack,60
Litten,Fire,sp_defense,40
Litten,Fire,speed,70
Decidueye,Grass,hp,78
Decidueye,Grass,attack,107
Decidueye,Grass,defense,75
Decidueye,Grass,sp_attack,100
Decidueye,Grass,sp_defense,100
Decidueye,Grass,speed,70
Dartrix,Grass,hp,78
Dartrix,Grass,attack,75
Dartrix,Grass,defense,75
Dartrix,Grass,sp_attack,70
Dartrix,Grass,sp_defense,70
Dartrix,Grass,speed,52
Rowlet,Grass,hp,68
Rowlet,Grass,attack,55
Rowlet,Grass,defense,55
Rowlet,Grass,sp_attack,50
Rowlet,Grass,sp_defense,50
Rowlet,Grass,speed,42
Volcanion,Fire,hp,80
Volcanion,Fire,attack,110
Volcanion,Fire,defense,120
Volcanion,Fire,sp_attack,130
Volcanion,Fire,sp_defense,90
Volcanion,Fire,speed,70
Hoopa Hoopa Unbound,Psychic,hp,80
Hoopa Hoopa Unbound,Psychic,attack,160
Hoopa Hoopa Unbound,Psychic,defense,60
Hoopa Hoopa Unbound,Psychic,sp_attack,170
Hoopa Hoopa Unbound,Psychic,sp_defense,130
Hoopa Hoopa Unbound,Psychic,speed,80
Hoopa Hoopa Confined,Psychic,hp,80
Hoopa Hoopa Confined,Psychic,attack,110
Hoopa Hoopa Confined,Psychic,defense,60
Hoopa Hoopa Confined,Psychic,sp_attack,150
Hoopa Hoopa Confined,Psychic,sp_defense,130
Hoopa Hoopa Confined,Psychic,speed,70
Mega Diancie,Rock,hp,50
Mega Diancie,Rock,attack,160
Mega Diancie,Rock,defense,110
Mega Diancie,Rock,sp_attack,160
Mega Diancie,Rock,sp_defense,110
Mega Diancie,Rock,speed,110
Diancie,Rock,hp,50
Diancie,Rock,attack,100
Diancie,Rock,defense,150
Diancie,Rock,sp_attack,100
Diancie,Rock,sp_defense,150
Diancie,Rock,speed,50
Zygarde Complete Forme,Dragon,hp,216
Zygarde Complete Forme,Dragon,attack,100
Zygarde Complete Forme,Dragon,defense,121
Zygarde Complete Forme,Dragon,sp_attack,91
Zygarde Complete Forme,Dragon,sp_defense,95
Zygarde Complete Forme,Dragon,speed,85
Zygarde 10% Forme,Dragon,hp,54
Zygarde 10% Forme,Dragon,attack,100
Zygarde 10% Forme,Dragon,defense,71
Zygarde 10% Forme,Dragon,sp_attack,61
Zygarde 10% Forme,Dragon,sp_defense,85
Zygarde 10% Forme,Dragon,speed,115
Zygarde 50% Forme,Dragon,hp,108
Zygarde 50% Forme,Dragon,attack,100
Zygarde 50% Forme,Dragon,defense,121
Zygarde 50% Forme,Dragon,sp_attack,81
Zygarde 50% Forme,Dragon,sp_defense,95
Zygarde 50% Forme,Dragon,speed,95
Yveltal,Dark,hp,126
Yveltal,Dark,attack,131
Yveltal,Dark,defense,95
Yveltal,Dark,sp_attack,131
Yveltal,Dark,sp_defense,98
Yveltal,Dark,speed,99
Xerneas,Fairy,hp,126
Xerneas,Fairy,attack,131
Xerneas,Fairy,defense,95
Xerneas,Fairy,sp_attack,131
Xerneas,Fairy,sp_defense,98
Xerneas,Fairy,speed,99
Noivern,Flying,hp,85
Noivern,Flying,attack,70
Noivern,Flying,defense,80
Noivern,Flying,sp_attack,97
Noivern,Flying,sp_defense,80
Noivern,Flying,speed,123
Noibat,Flying,hp,40
Noibat,Flying,attack,30
Noibat,Flying,defense,35
Noibat,Flying,sp_attack,45
Noibat,Flying,sp_defense,40
Noibat,Flying,speed,55
Avalugg,Ice,hp,95
Avalugg,Ice,attack,117
Avalugg,Ice,defense,184
Avalugg,Ice,sp_attack,44
Avalugg,Ice,sp_defense,46
Avalugg,Ice,speed,28
Bergmite,Ice,hp,55
Bergmite,Ice,attack,69
Bergmite,Ice,defense,85
Bergmite,Ice,sp_attack,32
Bergmite,Ice,sp_defense,35
Bergmite,Ice,speed,28
Gourgeist Super Size,Ghost,hp,85
Gourgeist Super Size,Ghost,attack,100
Gourgeist Super Size,Ghost,defense,122
Gourgeist Super Size,Ghost,sp_attack,58
Gourgeist Super Size,Ghost,sp_defense,75
Gourgeist Super Size,Ghost,speed,54
Gourgeist Large Size,Ghost,hp,75
Gourgeist Large Size,Ghost,attack,95
Gourgeist Large Size,Ghost,defense,122
Gourgeist Large Size,Ghost,sp_attack,58
Gourgeist Large Size,Ghost,sp_defense,75
Gourgeist Large Size,Ghost,speed,69
Gourgeist Small Size,Ghost,hp,55
Gourgeist Small Size,Ghost,attack,85
Gourgeist Small Size,Ghost,defense,122
Gourgeist Small Size,Ghost,sp_attack,58
Gourgeist Small Size,Ghost,sp_defense,75
Gourgeist Small Size,Ghost,speed,99
Gourgeist Average Size,Ghost,hp,65
Gourgeist Average Size,Ghost,attack,90
Gourgeist Average Size,Ghost,defense,122
Gourgeist Average Size,Ghost,sp_attack,58
Gourgeist Average Size,Ghost,sp_defense,75
Gourgeist Average Size,Ghost,speed,84
Pumpkaboo Super Size,Ghost,hp,59
Pumpkaboo Super Size,Ghost,attack,66
Pumpkaboo Super Size,Ghost,defense,70
Pumpkaboo Super Size,Ghost,sp_attack,44
Pumpkaboo Super Size,Ghost,sp_defense,55
Pumpkaboo Super Size,Ghost,speed,41
Pumpkaboo Large Size,Ghost,hp,54
Pumpkaboo Large Size,Ghost,attack,66
Pumpkaboo Large Size,Ghost,defense,70
Pumpkaboo Large Size,Ghost,sp_attack,44
Pumpkaboo Large Size,Ghost,sp_defense,55
Pumpkaboo Large Size,Ghost,speed,46
Pumpkaboo Small Size,Ghost,hp,44
Pumpkaboo Small Size,Ghost,attack,66
Pumpkaboo Small Size,Ghost,defense,70
Pumpkaboo Small Size,Ghost,sp_attack,44
Pumpkaboo Small Size,Ghost,sp_defense,55
Pumpkaboo Small Size,Ghost,speed,56
Pumpkaboo Average Size,Ghost,hp,49
Pumpkaboo Average Size,Ghost,attack,66
Pumpkaboo Average Size,Ghost,defense,70
Pumpkaboo Average Size,Ghost,sp_attack,44
Pumpkaboo Average Size,Ghost,sp_defense,55
Pumpkaboo Average Size,Ghost,speed,51
Trevenant,Ghost,hp,85
Trevenant,Ghost,attack,110
Trevenant,Ghost,defense,76
Trevenant,Ghost,sp_attack,65
Trevenant,Ghost,sp_defense,82
Trevenant,Ghost,speed,56
Phantump,Ghost,hp,43
Phantump,Ghost,attack,70
Phantump,Ghost,defense,48
Phantump,Ghost,sp_attack,50
Phantump,Ghost,sp_defense,60
Phantump,Ghost,speed,38
Klefki,Steel,hp,57
Klefki,Steel,attack,80
Klefki,Steel,defense,91
Klefki,Steel,sp_attack,80
Klefki,Steel,sp_defense,87
Klefki,Steel,speed,75
Goodra,Dragon,hp,90
Goodra,Dragon,attack,100
Goodra,Dragon,defense,70
Goodra,Dragon,sp_attack,110
Goodra,Dragon,sp_defense,150
Goodra,Dragon,speed,80
Sliggoo,Dragon,hp,68
Sliggoo,Dragon,attack,75
Sliggoo,Dragon,defense,53
Sliggoo,Dragon,sp_attack,83
Sliggoo,Dragon,sp_defense,113
Sliggoo,Dragon,speed,60
Goomy,Dragon,hp,45
Goomy,Dragon,attack,50
Goomy,Dragon,defense,35
Goomy,Dragon,sp_attack,55
Goomy,Dragon,sp_defense,75
Goomy,Dragon,speed,40
Carbink,Rock,hp,50
Carbink,Rock,attack,50
Carbink,Rock,defense,150
Carbink,Rock,sp_attack,50
Carbink,Rock,sp_defense,150
Carbink,Rock,speed,50
Dedenne,Electric,hp,67
Dedenne,Electric,attack,58
Dedenne,Electric,defense,57
Dedenne,Electric,sp_attack,81
Dedenne,Electric,sp_defense,67
Dedenne,Electric,speed,101
Hawlucha,Fighting,hp,78
Hawlucha,Fighting,attack,92
Hawlucha,Fighting,defense,75
Hawlucha,Fighting,sp_attack,74
Hawlucha,Fighting,sp_defense,63
Hawlucha,Fighting,speed,118
Sylveon,Fairy,hp,95
Sylveon,Fairy,attack,65
Sylveon,Fairy,defense,65
Sylveon,Fairy,sp_attack,110
Sylveon,Fairy,sp_defense,130
Sylveon,Fairy,speed,60
Aurorus,Rock,hp,123
Aurorus,Rock,attack,77
Aurorus,Rock,defense,72
Aurorus,Rock,sp_attack,99
Aurorus,Rock,sp_defense,92
Aurorus,Rock,speed,58
Amaura,Rock,hp,77
Amaura,Rock,attack,59
Amaura,Rock,defense,50
Amaura,Rock,sp_attack,67
Amaura,Rock,sp_defense,63
Amaura,Rock,speed,46
Tyrantrum,Rock,hp,82
Tyrantrum,Rock,attack,121
Tyrantrum,Rock,defense,119
Tyrantrum,Rock,sp_attack,69
Tyrantrum,Rock,sp_defense,59
Tyrantrum,Rock,speed,71
Tyrunt,Rock,hp,58
Tyrunt,Rock,attack,89
Tyrunt,Rock,defense,77
Tyrunt,Rock,sp_attack,45
Tyrunt,Rock,sp_defense,45
Tyrunt,Rock,speed,48
Heliolisk,Electric,hp,62
Heliolisk,Electric,attack,55
Heliolisk,Electric,defense,52
Heliolisk,Electric,sp_attack,109
Heliolisk,Electric,sp_defense,94
Heliolisk,Electric,speed,109
Helioptile,Electric,hp,44
Helioptile,Electric,attack,38
Helioptile,Electric,defense,33
Helioptile,Electric,sp_attack,61
Helioptile,Electric,sp_defense,43
Helioptile,Electric,speed,70
Clawitzer,Water,hp,71
Clawitzer,Water,attack,73
Clawitzer,Water,defense,88
Clawitzer,Water,sp_attack,120
Clawitzer,Water,sp_defense,89
Clawitzer,Water,speed,59
Clauncher,Water,hp,50
Clauncher,Water,attack,53
Clauncher,Water,defense,62
Clauncher,Water,sp_attack,58
Clauncher,Water,sp_defense,63
Clauncher,Water,speed,44
Dragalge,Poison,hp,65
Dragalge,Poison,attack,75
Dragalge,Poison,defense,90
Dragalge,Poison,sp_attack,97
Dragalge,Poison,sp_defense,123
Dragalge,Poison,speed,44
Skrelp,Poison,hp,50
Skrelp,Poison,attack,60
Skrelp,Poison,defense,60
Skrelp,Poison,sp_attack,60
Skrelp,Poison,sp_defense,60
Skrelp,Poison,speed,30
Barbaracle,Rock,hp,72
Barbaracle,Rock,attack,105
Barbaracle,Rock,defense,115
Barbaracle,Rock,sp_attack,54
Barbaracle,Rock,sp_defense,86
Barbaracle,Rock,speed,68
Binacle,Rock,hp,42
Binacle,Rock,attack,52
Binacle,Rock,defense,67
Binacle,Rock,sp_attack,39
Binacle,Rock,sp_defense,56
Binacle,Rock,speed,50
Malamar,Dark,hp,86
Malamar,Dark,attack,92
Malamar,Dark,defense,88
Malamar,Dark,sp_attack,68
Malamar,Dark,sp_defense,75
Malamar,Dark,speed,73
Inkay,Dark,hp,53
Inkay,Dark,attack,54
Inkay,Dark,defense,53
Inkay,Dark,sp_attack,37
Inkay,Dark,sp_defense,46
Inkay,Dark,speed,45
Slurpuff,Fairy,hp,82
Slurpuff,Fairy,attack,80
Slurpuff,Fairy,defense,86
Slurpuff,Fairy,sp_attack,85
Slurpuff,Fairy,sp_defense,75
Slurpuff,Fairy,speed,72
Swirlix,Fairy,hp,62
Swirlix,Fairy,attack,48
Swirlix,Fairy,defense,66
Swirlix,Fairy,sp_attack,59
Swirlix,Fairy,sp_defense,57
Swirlix,Fairy,speed,49
Aromatisse,Fairy,hp,101
Aromatisse,Fairy,attack,72
Aromatisse,Fairy,defense,72
Aromatisse,Fairy,sp_attack,99
Aromatisse,Fairy,sp_defense,89
Aromatisse,Fairy,speed,29
Spritzee,Fairy,hp,78
Spritzee,Fairy,attack,52
Spritzee,Fairy,defense,60
Spritzee,Fairy,sp_attack,63
Spritzee,Fairy,sp_defense,65
Spritzee,Fairy,speed,23
Aegislash Shield Forme,Steel,hp,60
Aegislash Shield Forme,Steel,attack,50
Aegislash Shield Forme,Steel,defense,150
Aegislash Shield Forme,Steel,sp_attack,50
Aegislash Shield Forme,Steel,sp_defense,150
Aegislash Shield Forme,Steel,speed,60
Aegislash Blade Forme,Steel,hp,60
Aegislash Blade Forme,Steel,attack,150
Aegislash Blade Forme,Steel,defense,50
Aegislash Blade Forme,Steel,sp_attack,150
Aegislash Blade Forme,Steel,sp_defense,50
Aegislash Blade Forme,Steel,speed,60
Doublade,Steel,hp,59
Doublade,Steel,attack,110
Doublade,Steel,defense,150
Doublade,Steel,sp_attack,45
Doublade,Steel,sp_defense,49
Doublade,Steel,speed,35
Honedge,Steel,hp,45
Honedge,Steel,attack,80
Honedge,Steel,defense,100
Honedge,Steel,sp_attack,35
Honedge,Steel,sp_defense,37
Honedge,Steel,speed,28
Meowstic Female,Psychic,hp,74
Meowstic Female,Psychic,attack,48
Meowstic Female,Psychic,defense,76
Meowstic Female,Psychic,sp_attack,83
Meowstic Female,Psychic,sp_defense,81
Meowstic Female,Psychic,speed,104
Meowstic Male,Psychic,hp,74
Meowstic Male,Psychic,attack,48
Meowstic Male,Psychic,defense,76
Meowstic Male,Psychic,sp_attack,83
Meowstic Male,Psychic,sp_defense,81
Meowstic Male,Psychic,speed,104
Espurr,Psychic,hp,62
Espurr,Psychic,attack,48
Espurr,Psychic,defense,54
Espurr,Psychic,sp_attack,63
Espurr,Psychic,sp_defense,60
Espurr,Psychic,speed,68
Furfrou,Normal,hp,75
Furfrou,Normal,attack,80
Furfrou,Normal,defense,60
Furfrou,Normal,sp_attack,65
Furfrou,Normal,sp_defense,90
Furfrou,Normal,speed,102
Pangoro,Fighting,hp,95
Pangoro,Fighting,attack,124
Pangoro,Fighting,defense,78
Pangoro,Fighting,sp_attack,69
Pangoro,Fighting,sp_defense,71
Pangoro,Fighting,speed,58
Pancham,Fighting,hp,67
Pancham,Fighting,attack,82
Pancham,Fighting,defense,62
Pancham,Fighting,sp_attack,46
Pancham,Fighting,sp_defense,48
Pancham,Fighting,speed,43
Gogoat,Grass,hp,123
Gogoat,Grass,attack,100
Gogoat,Grass,defense,62
Gogoat,Grass,sp_attack,97
Gogoat,Grass,sp_defense,81
Gogoat,Grass,speed,68
Skiddo,Grass,hp,66
Skiddo,Grass,attack,65
Skiddo,Grass,defense,48
Skiddo,Grass,sp_attack,62
Skiddo,Grass,sp_defense,57
Skiddo,Grass,speed,52
Florges,Fairy,hp,78
Florges,Fairy,attack,65
Florges,Fairy,defense,68
Florges,Fairy,sp_attack,112
Florges,Fairy,sp_defense,154
Florges,Fairy,speed,75
Floette,Fairy,hp,54
Floette,Fairy,attack,45
Floette,Fairy,defense,47
Floette,Fairy,sp_attack,75
Floette,Fairy,sp_defense,98
Floette,Fairy,speed,52
Flab̩b̩,Fairy,hp,44
Flab̩b̩,Fairy,attack,38
Flab̩b̩,Fairy,defense,39
Flab̩b̩,Fairy,sp_attack,61
Flab̩b̩,Fairy,sp_defense,79
Flab̩b̩,Fairy,speed,42
Pyroar,Fire,hp,86
Pyroar,Fire,attack,68
Pyroar,Fire,defense,72
Pyroar,Fire,sp_attack,109
Pyroar,Fire,sp_defense,66
Pyroar,Fire,speed,106
Litleo,Fire,hp,62
Litleo,Fire,attack,50
Litleo,Fire,defense,58
Litleo,Fire,sp_attack,73
Litleo,Fire,sp_defense,54
Litleo,Fire,speed,72
Vivillon,Bug,hp,80
Vivillon,Bug,attack,52
Vivillon,Bug,defense,50
Vivillon,Bug,sp_attack,90
Vivillon,Bug,sp_defense,50
Vivillon,Bug,speed,89
Spewpa,Bug,hp,45
Spewpa,Bug,attack,22
Spewpa,Bug,defense,60
Spewpa,Bug,sp_attack,27
Spewpa,Bug,sp_defense,30
Spewpa,Bug,speed,29
Scatterbug,Bug,hp,38
Scatterbug,Bug,attack,35
Scatterbug,Bug,defense,40
Scatterbug,Bug,sp_attack,27
Scatterbug,Bug,sp_defense,25
Scatterbug,Bug,speed,35
Talonflame,Fire,hp,78
Talonflame,Fire,attack,81
Talonflame,Fire,defense,71
Talonflame,Fire,sp_attack,74
Talonflame,Fire,sp_defense,69
Talonflame,Fire,speed,126
Fletchinder,Fire,hp,62
Fletchinder,Fire,attack,73
Fletchinder,Fire,defense,55
Fletchinder,Fire,sp_attack,56
Fletchinder,Fire,sp_defense,52
Fletchinder,Fire,speed,84
Fletchling,Normal,hp,45
Fletchling,Normal,attack,50
Fletchling,Normal,defense,43
Fletchling,Normal,sp_attack,40
Fletchling,Normal,sp_defense,38
Fletchling,Normal,speed,62
Diggersby,Normal,hp,85
Diggersby,Normal,attack,56
Diggersby,Normal,defense,77
Diggersby,Normal,sp_attack,50
Diggersby,Normal,sp_defense,77
Diggersby,Normal,speed,78
Bunnelby,Normal,hp,38
Bunnelby,Normal,attack,36
Bunnelby,Normal,defense,38
Bunnelby,Normal,sp_attack,32
Bunnelby,Normal,sp_defense,36
Bunnelby,Normal,speed,57
Ash-Greninja,Water,hp,72
Ash-Greninja,Water,attack,145
Ash-Greninja,Water,defense,67
Ash-Greninja,Water,sp_attack,153
Ash-Greninja,Water,sp_defense,71
Ash-Greninja,Water,speed,132
Greninja,Water,hp,72
Greninja,Water,attack,95
Greninja,Water,defense,67
Greninja,Water,sp_attack,103
Greninja,Water,sp_defense,71
Greninja,Water,speed,122
Frogadier,Water,hp,54
Frogadier,Water,attack,63
Frogadier,Water,defense,52
Frogadier,Water,sp_attack,83
Frogadier,Water,sp_defense,56
Frogadier,Water,speed,97
Froakie,Water,hp,41
Froakie,Water,attack,56
Froakie,Water,defense,40
Froakie,Water,sp_attack,62
Froakie,Water,sp_defense,44
Froakie,Water,speed,71
Delphox,Fire,hp,75
Delphox,Fire,attack,69
Delphox,Fire,defense,72
Delphox,Fire,sp_attack,114
Delphox,Fire,sp_defense,100
Delphox,Fire,speed,104
Braixen,Fire,hp,59
Braixen,Fire,attack,59
Braixen,Fire,defense,58
Braixen,Fire,sp_attack,90
Braixen,Fire,sp_defense,70
Braixen,Fire,speed,73
